exp	verb	pairNum	sent	target	bias	antecedent	gender	IC
ic_mismatch	angered	0	The woman angered the man because	she	85	subj	f	subj
ic_mismatch	annoyed	0	The man annoyed the woman because	he	79	subj	m	subj
ic_mismatch	annoyed	0	The man annoyed the woman because	she	79	obj	f	subj
ic_mismatch	annoyed	0	The woman annoyed the man because	he	79	obj	m	subj
ic_mismatch	annoyed	0	The woman annoyed the man because	she	79	subj	f	subj
ic_mismatch	answered	0	The man answered the woman because	he	-64	subj	m	obj
ic_mismatch	answered	0	The man answered the woman because	she	-64	obj	f	obj
ic_mismatch	answered	0	The woman answered the man because	he	-64	obj	m	obj
ic_mismatch	answered	0	The woman answered the man because	she	-64	subj	f	obj
ic_mismatch	apologized to	0	The man apologized to the woman because	he	93	subj	m	subj
ic_mismatch	apologized to	0	The man apologized to the woman because	she	93	obj	f	subj
ic_mismatch	apologized to	0	The woman apologized to the man because	he	93	obj	m	subj
ic_mismatch	apologized to	0	The woman apologized to the man because	she	93	subj	f	subj
ic_mismatch	appalled	0	The man appalled the woman because	he	78	subj	m	subj
ic_mismatch	appalled	0	The man appalled the woman because	she	78	obj	f	subj
ic_mismatch	appalled	0	The woman appalled the man because	he	78	obj	m	subj
ic_mismatch	appalled	0	The woman appalled the man because	she	78	subj	f	subj
ic_mismatch	applauded	0	The man applauded the woman because	he	-84	subj	m	obj
ic_mismatch	applauded	0	The man applauded the woman because	she	-84	obj	f	obj
ic_mismatch	applauded	0	The woman applauded the man because	he	-84	obj	m	obj
ic_mismatch	applauded	0	The woman applauded the man because	she	-84	subj	f	obj
ic_mismatch	appreciated	0	The man appreciated the woman because	he	-87	subj	m	obj
ic_mismatch	appreciated	0	The man appreciated the woman because	she	-87	obj	f	obj
ic_mismatch	appreciated	0	The woman appreciated the man because	he	-87	obj	m	obj
ic_mismatch	appreciated	0	The woman appreciated the man because	she	-87	subj	f	obj
ic_mismatch	approached	0	The man approached the woman because	he	39	subj	m	subj
ic_mismatch	approached	0	The man approached the woman because	she	39	obj	f	subj
ic_mismatch	approached	0	The woman approached the man because	he	39	obj	m	subj
ic_mismatch	approached	0	The woman approached the man because	she	39	subj	f	subj
ic_mismatch	astonished	0	The man astonished the woman because	he	51	subj	m	subj
ic_mismatch	astonished	0	The man astonished the woman because	she	51	obj	f	subj
ic_mismatch	astonished	0	The woman astonished the man because	he	51	obj	m	subj
ic_mismatch	astonished	0	The woman astonished the man because	she	51	subj	f	subj
ic_mismatch	astounded	0	The man astounded the woman because	he	62	subj	m	subj
ic_mismatch	astounded	0	The man astounded the woman because	she	62	obj	f	subj
ic_mismatch	astounded	0	The woman astounded the man because	he	62	obj	m	subj
ic_mismatch	astounded	0	The woman astounded the man because	she	62	subj	f	subj
ic_mismatch	attracted	0	The man attracted the woman because	he	87	subj	m	subj
ic_mismatch	attracted	0	The man attracted the woman because	she	87	obj	f	subj
ic_mismatch	attracted	0	The woman attracted the man because	he	87	obj	m	subj
ic_mismatch	attracted	0	The woman attracted the man because	she	87	subj	f	subj
ic_mismatch	avoided	0	The man avoided the woman because	he	14	subj	m	subj
ic_mismatch	avoided	0	The man avoided the woman because	she	14	obj	f	subj
ic_mismatch	avoided	0	The woman avoided the man because	he	14	obj	m	subj
ic_mismatch	avoided	0	The woman avoided the man because	she	14	subj	f	subj
ic_mismatch	baffled	0	The man baffled the woman because	he	56	subj	m	subj
ic_mismatch	baffled	0	The man baffled the woman because	she	56	obj	f	subj
ic_mismatch	baffled	0	The woman baffled the man because	he	56	obj	m	subj
ic_mismatch	baffled	0	The woman baffled the man because	she	56	subj	f	subj
ic_mismatch	banished	0	The man banished the woman because	he	-56	subj	m	obj
ic_mismatch	banished	0	The man banished the woman because	she	-56	obj	f	obj
ic_mismatch	banished	0	The woman banished the man because	he	-56	obj	m	obj
ic_mismatch	banished	0	The woman banished the man because	she	-56	subj	f	obj
ic_mismatch	battled	0	The man battled the woman because	he	47	subj	m	subj
ic_mismatch	battled	0	The man battled the woman because	she	47	obj	f	subj
ic_mismatch	battled	0	The woman battled the man because	he	47	obj	m	subj
ic_mismatch	battled	0	The woman battled the man because	she	47	subj	f	subj
ic_mismatch	believed	0	The man believed the woman because	he	-54	subj	m	obj
ic_mismatch	believed	0	The man believed the woman because	she	-54	obj	f	obj
ic_mismatch	believed	0	The woman believed the man because	he	-54	obj	m	obj
ic_mismatch	believed	0	The woman believed the man because	she	-54	subj	f	obj
ic_mismatch	betrayed	0	The man betrayed the woman because	he	74	subj	m	subj
ic_mismatch	betrayed	0	The man betrayed the woman because	she	74	obj	f	subj
ic_mismatch	betrayed	0	The woman betrayed the man because	he	74	obj	m	subj
ic_mismatch	betrayed	0	The woman betrayed the man because	she	74	subj	f	subj
ic_mismatch	bewildered	0	The man bewildered the woman because	he	49	subj	m	subj
ic_mismatch	bewildered	0	The man bewildered the woman because	she	49	obj	f	subj
ic_mismatch	bewildered	0	The woman bewildered the man because	he	49	obj	m	subj
ic_mismatch	bewildered	0	The woman bewildered the man because	she	49	subj	f	subj
ic_mismatch	blamed	0	The man blamed the woman because	he	-30	subj	m	obj
ic_mismatch	blamed	0	The man blamed the woman because	she	-30	obj	f	obj
ic_mismatch	blamed	0	The woman blamed the man because	he	-30	obj	m	obj
ic_mismatch	blamed	0	The woman blamed the man because	she	-30	subj	f	obj
ic_mismatch	blessed	0	The man blessed the woman because	he	-21	subj	m	obj
ic_mismatch	blessed	0	The man blessed the woman because	she	-21	obj	f	obj
ic_mismatch	blessed	0	The woman blessed the man because	he	-21	obj	m	obj
ic_mismatch	blessed	0	The woman blessed the man because	she	-21	subj	f	obj
ic_mismatch	bored	0	The man bored the woman because	he	73	subj	m	subj
ic_mismatch	bored	0	The man bored the woman because	she	73	obj	f	subj
ic_mismatch	bored	0	The woman bored the man because	he	73	obj	m	subj
ic_mismatch	bored	0	The woman bored the man because	she	73	subj	f	subj
ic_mismatch	bothered	0	The man bothered the woman because	he	59	subj	m	subj
ic_mismatch	bothered	0	The man bothered the woman because	she	59	obj	f	subj
ic_mismatch	bothered	0	The woman bothered the man because	he	59	obj	m	subj
ic_mismatch	bothered	0	The woman bothered the man because	she	59	subj	f	subj
ic_mismatch	called	0	The man called the woman because	he	82	subj	m	subj
ic_mismatch	called	0	The man called the woman because	she	82	obj	f	subj
ic_mismatch	called	0	The woman called the man because	he	82	obj	m	subj
ic_mismatch	called	0	The woman called the man because	she	82	subj	f	subj
ic_mismatch	calmed	0	The man calmed the woman because	he	-53	subj	m	obj
ic_mismatch	calmed	0	The man calmed the woman because	she	-53	obj	f	obj
ic_mismatch	calmed	0	The woman calmed the man because	he	-53	obj	m	obj
ic_mismatch	calmed	0	The woman calmed the man because	she	-53	subj	f	obj
ic_mismatch	calmed down	0	The man calmed down the woman because	he	-79	subj	m	obj
ic_mismatch	calmed down	0	The man calmed down the woman because	she	-79	obj	f	obj
ic_mismatch	calmed down	0	The woman calmed down the man because	he	-79	obj	m	obj
ic_mismatch	calmed down	0	The woman calmed down the man because	she	-79	subj	f	obj
ic_mismatch	captivated	0	The man captivated the woman because	he	78	subj	m	subj
ic_mismatch	captivated	0	The man captivated the woman because	she	78	obj	f	subj
ic_mismatch	captivated	0	The woman captivated the man because	he	78	obj	m	subj
ic_mismatch	captivated	0	The woman captivated the man because	she	78	subj	f	subj
ic_mismatch	carried	0	The man carried the woman because	he	-92	subj	m	obj
ic_mismatch	carried	0	The man carried the woman because	she	-92	obj	f	obj
ic_mismatch	carried	0	The woman carried the man because	he	-92	obj	m	obj
ic_mismatch	carried	0	The woman carried the man because	she	-92	subj	f	obj
ic_mismatch	castigated	0	The man castigated the woman because	he	-45	subj	m	obj
ic_mismatch	castigated	0	The man castigated the woman because	she	-45	obj	f	obj
ic_mismatch	castigated	0	The woman castigated the man because	he	-45	obj	m	obj
ic_mismatch	castigated	0	The woman castigated the man because	she	-45	subj	f	obj
ic_mismatch	caught	0	The man caught the woman because	he	-44	subj	m	obj
ic_mismatch	caught	0	The man caught the woman because	she	-44	obj	f	obj
ic_mismatch	caught	0	The woman caught the man because	he	-44	obj	m	obj
ic_mismatch	caught	0	The woman caught the man because	she	-44	subj	f	obj
ic_mismatch	cautioned	0	The man cautioned the woman because	he	-36	subj	m	obj
ic_mismatch	cautioned	0	The man cautioned the woman because	she	-36	obj	f	obj
ic_mismatch	cautioned	0	The woman cautioned the man because	he	-36	obj	m	obj
ic_mismatch	cautioned	0	The woman cautioned the man because	she	-36	subj	f	obj
ic_mismatch	celebrated	0	The man celebrated the woman because	he	-72	subj	m	obj
ic_mismatch	celebrated	0	The man celebrated the woman because	she	-72	obj	f	obj
ic_mismatch	celebrated	0	The woman celebrated the man because	he	-72	obj	m	obj
ic_mismatch	celebrated	0	The woman celebrated the man because	she	-72	subj	f	obj
ic_mismatch	censured	0	The man censured the woman because	he	-58	subj	m	obj
ic_mismatch	censured	0	The man censured the woman because	she	-58	obj	f	obj
ic_mismatch	censured	0	The woman censured the man because	he	-58	obj	m	obj
ic_mismatch	censured	0	The woman censured the man because	she	-58	subj	f	obj
ic_mismatch	charmed	0	The man charmed the woman because	he	81	subj	m	subj
ic_mismatch	charmed	0	The man charmed the woman because	she	81	obj	f	subj
ic_mismatch	charmed	0	The woman charmed the man because	he	81	obj	m	subj
ic_mismatch	charmed	0	The woman charmed the man because	she	81	subj	f	subj
ic_mismatch	chased	0	The man chased the woman because	he	-33	subj	m	obj
ic_mismatch	chased	0	The man chased the woman because	she	-33	obj	f	obj
ic_mismatch	chased	0	The woman chased the man because	he	-33	obj	m	obj
ic_mismatch	chased	0	The woman chased the man because	she	-33	subj	f	obj
ic_mismatch	cheated	0	The man cheated the woman because	he	63	subj	m	subj
ic_mismatch	cheated	0	The man cheated the woman because	she	63	obj	f	subj
ic_mismatch	cheated	0	The woman cheated the man because	he	63	obj	m	subj
ic_mismatch	cheated	0	The woman cheated the man because	she	63	subj	f	subj
ic_mismatch	cheered	0	The man cheered the woman because	he	-48	subj	m	obj
ic_mismatch	cheered	0	The man cheered the woman because	she	-48	obj	f	obj
ic_mismatch	cheered	0	The woman cheered the man because	he	-48	obj	m	obj
ic_mismatch	cheered	0	The woman cheered the man because	she	-48	subj	f	obj
ic_mismatch	cherished	0	The man cherished the woman because	he	-53	subj	m	obj
ic_mismatch	cherished	0	The man cherished the woman because	she	-53	obj	f	obj
ic_mismatch	cherished	0	The woman cherished the man because	he	-53	obj	m	obj
ic_mismatch	cherished	0	The woman cherished the man because	she	-53	subj	f	obj
ic_mismatch	chilled	0	The man chilled the woman because	he	31	subj	m	subj
ic_mismatch	chilled	0	The man chilled the woman because	she	31	obj	f	subj
ic_mismatch	chilled	0	The woman chilled the man because	he	31	obj	m	subj
ic_mismatch	chilled	0	The woman chilled the man because	she	31	subj	f	subj
ic_mismatch	comforted	0	The man comforted the woman because	he	-77	subj	m	obj
ic_mismatch	comforted	0	The man comforted the woman because	she	-77	obj	f	obj
ic_mismatch	comforted	0	The woman comforted the man because	he	-77	obj	m	obj
ic_mismatch	comforted	0	The woman comforted the man because	she	-77	subj	f	obj
ic_mismatch	commended	0	The man commended the woman because	he	-82	subj	m	obj
ic_mismatch	commended	0	The man commended the woman because	she	-82	obj	f	obj
ic_mismatch	commended	0	The woman commended the man because	he	-82	obj	m	obj
ic_mismatch	commended	0	The woman commended the man because	she	-82	subj	f	obj
ic_mismatch	compensated	0	The man compensated the woman because	he	16	subj	m	subj
ic_mismatch	compensated	0	The man compensated the woman because	she	16	obj	f	subj
ic_mismatch	compensated	0	The woman compensated the man because	he	16	obj	m	subj
ic_mismatch	compensated	0	The woman compensated the man because	she	16	subj	f	subj
ic_mismatch	complemented	0	The man complemented the woman because	he	-56	subj	m	obj
ic_mismatch	complemented	0	The man complemented the woman because	she	-56	obj	f	obj
ic_mismatch	complemented	0	The woman complemented the man because	he	-56	obj	m	obj
ic_mismatch	complemented	0	The woman complemented the man because	she	-56	subj	f	obj
ic_mismatch	complimented	0	The man complimented the woman because	he	-47	subj	m	obj
ic_mismatch	complimented	0	The man complimented the woman because	she	-47	obj	f	obj
ic_mismatch	complimented	0	The woman complimented the man because	he	-47	obj	m	obj
ic_mismatch	complimented	0	The woman complimented the man because	she	-47	subj	f	obj
ic_mismatch	concerned	0	The man concerned the woman because	he	81	subj	m	subj
ic_mismatch	concerned	0	The man concerned the woman because	she	81	obj	f	subj
ic_mismatch	concerned	0	The woman concerned the man because	he	81	obj	m	subj
ic_mismatch	concerned	0	The woman concerned the man because	she	81	subj	f	subj
ic_mismatch	condemned	0	The man condemned the woman because	he	-63	subj	m	obj
ic_mismatch	condemned	0	The man condemned the woman because	she	-63	obj	f	obj
ic_mismatch	condemned	0	The woman condemned the man because	he	-63	obj	m	obj
ic_mismatch	condemned	0	The woman condemned the man because	she	-63	subj	f	obj
ic_mismatch	confessed to	0	The man confessed to the woman because	he	74	subj	m	subj
ic_mismatch	confessed to	0	The man confessed to the woman because	she	74	obj	f	subj
ic_mismatch	confessed to	0	The woman confessed to the man because	he	74	obj	m	subj
ic_mismatch	confessed to	0	The woman confessed to the man because	she	74	subj	f	subj
ic_mismatch	confided in	0	The man confided in the woman because	he	5	subj	m	subj
ic_mismatch	confided in	0	The man confided in the woman because	she	5	obj	f	subj
ic_mismatch	confided in	0	The woman confided in the man because	he	5	obj	m	subj
ic_mismatch	confided in	0	The woman confided in the man because	she	5	subj	f	subj
ic_mismatch	confounded	0	The man confounded the woman because	he	36	subj	m	subj
ic_mismatch	confounded	0	The man confounded the woman because	she	36	obj	f	subj
ic_mismatch	confounded	0	The woman confounded the man because	he	36	obj	m	subj
ic_mismatch	confounded	0	The woman confounded the man because	she	36	subj	f	subj
ic_mismatch	confused	0	The man confused the woman because	he	60	subj	m	subj
ic_mismatch	confused	0	The man confused the woman because	she	60	obj	f	subj
ic_mismatch	confused	0	The woman confused the man because	he	60	obj	m	subj
ic_mismatch	confused	0	The woman confused the man because	she	60	subj	f	subj
ic_mismatch	congratulated	0	The man congratulated the woman because	he	-94	subj	m	obj
ic_mismatch	congratulated	0	The man congratulated the woman because	she	-94	obj	f	obj
ic_mismatch	congratulated	0	The woman congratulated the man because	he	-94	obj	m	obj
ic_mismatch	congratulated	0	The woman congratulated the man because	she	-94	subj	f	obj
ic_mismatch	consulted	0	The man consulted the woman because	he	13	subj	m	subj
ic_mismatch	consulted	0	The man consulted the woman because	she	13	obj	f	subj
ic_mismatch	consulted	0	The woman consulted the man because	he	13	obj	m	subj
ic_mismatch	consulted	0	The woman consulted the man because	she	13	subj	f	subj
ic_mismatch	corrected	0	The man corrected the woman because	he	-74	subj	m	obj
ic_mismatch	corrected	0	The man corrected the woman because	she	-74	obj	f	obj
ic_mismatch	corrected	0	The woman corrected the man because	he	-74	obj	m	obj
ic_mismatch	corrected	0	The woman corrected the man because	she	-74	subj	f	obj
ic_mismatch	corrupted	0	The man corrupted the woman because	he	38	subj	m	subj
ic_mismatch	corrupted	0	The man corrupted the woman because	she	38	obj	f	subj
ic_mismatch	corrupted	0	The woman corrupted the man because	he	38	obj	m	subj
ic_mismatch	corrupted	0	The woman corrupted the man because	she	38	subj	f	subj
ic_mismatch	counseled	0	The man counseled the woman because	he	-67	subj	m	obj
ic_mismatch	counseled	0	The man counseled the woman because	she	-67	obj	f	obj
ic_mismatch	counseled	0	The woman counseled the man because	he	-67	obj	m	obj
ic_mismatch	counseled	0	The woman counseled the man because	she	-67	subj	f	obj
ic_mismatch	courted	0	The man courted the woman because	he	33	subj	m	subj
ic_mismatch	courted	0	The man courted the woman because	she	33	obj	f	subj
ic_mismatch	courted	0	The woman courted the man because	he	33	obj	m	subj
ic_mismatch	courted	0	The woman courted the man because	she	33	subj	f	subj
ic_mismatch	criticized	0	The man criticized the woman because	he	-45	subj	m	obj
ic_mismatch	criticized	0	The man criticized the woman because	she	-45	obj	f	obj
ic_mismatch	criticized	0	The woman criticized the man because	he	-45	obj	m	obj
ic_mismatch	criticized	0	The woman criticized the man because	she	-45	subj	f	obj
ic_mismatch	dated	0	The man dated the woman because	he	15	subj	m	subj
ic_mismatch	dated	0	The man dated the woman because	she	15	obj	f	subj
ic_mismatch	dated	0	The woman dated the man because	he	15	obj	m	subj
ic_mismatch	dated	0	The woman dated the man because	she	15	subj	f	subj
ic_mismatch	debated with	0	The man debated with the woman because	he	27	subj	m	subj
ic_mismatch	debated with	0	The man debated with the woman because	she	27	obj	f	subj
ic_mismatch	debated with	0	The woman debated with the man because	he	27	obj	m	subj
ic_mismatch	debated with	0	The woman debated with the man because	she	27	subj	f	subj
ic_mismatch	deceived	0	The man deceived the woman because	he	63	subj	m	subj
ic_mismatch	deceived	0	The man deceived the woman because	she	63	obj	f	subj
ic_mismatch	deceived	0	The woman deceived the man because	he	63	obj	m	subj
ic_mismatch	deceived	0	The woman deceived the man because	she	63	subj	f	subj
ic_mismatch	decried	0	The man decried the woman because	he	-11	subj	m	obj
ic_mismatch	decried	0	The man decried the woman because	she	-11	obj	f	obj
ic_mismatch	decried	0	The woman decried the man because	he	-11	obj	m	obj
ic_mismatch	decried	0	The woman decried the man because	she	-11	subj	f	obj
ic_mismatch	defied	0	The man defied the woman because	he	27	subj	m	subj
ic_mismatch	defied	0	The man defied the woman because	she	27	obj	f	subj
ic_mismatch	defied	0	The woman defied the man because	he	27	obj	m	subj
ic_mismatch	defied	0	The woman defied the man because	she	27	subj	f	subj
ic_mismatch	delighted	0	The man delighted the woman because	he	85	subj	m	subj
ic_mismatch	delighted	0	The man delighted the woman because	she	85	obj	f	subj
ic_mismatch	delighted	0	The woman delighted the man because	he	85	obj	m	subj
ic_mismatch	delighted	0	The woman delighted the man because	she	85	subj	f	subj
ic_mismatch	denounced	0	The man denounced the woman because	he	-36	subj	m	obj
ic_mismatch	denounced	0	The man denounced the woman because	she	-36	obj	f	obj
ic_mismatch	denounced	0	The woman denounced the man because	he	-36	obj	m	obj
ic_mismatch	denounced	0	The woman denounced the man because	she	-36	subj	f	obj
ic_mismatch	deplored	0	The man deplored the woman because	he	-34	subj	m	obj
ic_mismatch	deplored	0	The man deplored the woman because	she	-34	obj	f	obj
ic_mismatch	deplored	0	The woman deplored the man because	he	-34	obj	m	obj
ic_mismatch	deplored	0	The woman deplored the man because	she	-34	subj	f	obj
ic_mismatch	deprecated	0	The man deprecated the woman because	he	-12	subj	m	obj
ic_mismatch	deprecated	0	The man deprecated the woman because	she	-12	obj	f	obj
ic_mismatch	deprecated	0	The woman deprecated the man because	he	-12	obj	m	obj
ic_mismatch	deprecated	0	The woman deprecated the man because	she	-12	subj	f	obj
ic_mismatch	derided	0	The man derided the woman because	he	-24	subj	m	obj
ic_mismatch	derided	0	The man derided the woman because	she	-24	obj	f	obj
ic_mismatch	derided	0	The woman derided the man because	he	-24	obj	m	obj
ic_mismatch	derided	0	The woman derided the man because	she	-24	subj	f	obj
ic_mismatch	deserted	0	The man deserted the woman because	he	36	subj	m	subj
ic_mismatch	deserted	0	The man deserted the woman because	she	36	obj	f	subj
ic_mismatch	deserted	0	The woman deserted the man because	he	36	obj	m	subj
ic_mismatch	deserted	0	The woman deserted the man because	she	36	subj	f	subj
ic_mismatch	despised	0	The man despised the woman because	he	-87	subj	m	obj
ic_mismatch	despised	0	The man despised the woman because	she	-87	obj	f	obj
ic_mismatch	despised	0	The woman despised the man because	he	-87	obj	m	obj
ic_mismatch	despised	0	The woman despised the man because	she	-87	subj	f	obj
ic_mismatch	detested	0	The man detested the woman because	he	-78	subj	m	obj
ic_mismatch	detested	0	The man detested the woman because	she	-78	obj	f	obj
ic_mismatch	detested	0	The woman detested the man because	he	-78	obj	m	obj
ic_mismatch	detested	0	The woman detested the man because	she	-78	subj	f	obj
ic_mismatch	disappointed	0	The man disappointed the woman because	he	73	subj	m	subj
ic_mismatch	disappointed	0	The man disappointed the woman because	she	73	obj	f	subj
ic_mismatch	disappointed	0	The woman disappointed the man because	he	73	obj	m	subj
ic_mismatch	disappointed	0	The woman disappointed the man because	she	73	subj	f	subj
ic_mismatch	discouraged	0	The man discouraged the woman because	he	36	subj	m	subj
ic_mismatch	discouraged	0	The man discouraged the woman because	she	36	obj	f	subj
ic_mismatch	discouraged	0	The woman discouraged the man because	he	36	obj	m	subj
ic_mismatch	discouraged	0	The woman discouraged the man because	she	36	subj	f	subj
ic_mismatch	disgruntled	0	The man disgruntled the woman because	he	58	subj	m	subj
ic_mismatch	disgruntled	0	The man disgruntled the woman because	she	58	obj	f	subj
ic_mismatch	disgruntled	0	The woman disgruntled the man because	he	58	obj	m	subj
ic_mismatch	disgruntled	0	The woman disgruntled the man because	she	58	subj	f	subj
ic_mismatch	disliked	0	The man disliked the woman because	he	-87	subj	m	obj
ic_mismatch	disliked	0	The man disliked the woman because	she	-87	obj	f	obj
ic_mismatch	disliked	0	The woman disliked the man because	he	-87	obj	m	obj
ic_mismatch	disliked	0	The woman disliked the man because	she	-87	subj	f	obj
ic_mismatch	disobeyed	0	The man disobeyed the woman because	he	55	subj	m	subj
ic_mismatch	disobeyed	0	The man disobeyed the woman because	she	55	obj	f	subj
ic_mismatch	disobeyed	0	The woman disobeyed the man because	he	55	obj	m	subj
ic_mismatch	disobeyed	0	The woman disobeyed the man because	she	55	subj	f	subj
ic_mismatch	disparaged	0	The man disparaged the woman because	he	12	subj	m	subj
ic_mismatch	disparaged	0	The man disparaged the woman because	she	12	obj	f	subj
ic_mismatch	disparaged	0	The woman disparaged the man because	he	12	obj	m	subj
ic_mismatch	disparaged	0	The woman disparaged the man because	she	12	subj	f	subj
ic_mismatch	distracted	0	The man distracted the woman because	he	53	subj	m	subj
ic_mismatch	distracted	0	The man distracted the woman because	she	53	obj	f	subj
ic_mismatch	distracted	0	The woman distracted the man because	he	53	obj	m	subj
ic_mismatch	distracted	0	The woman distracted the man because	she	53	subj	f	subj
ic_mismatch	distressed	0	The man distressed the woman because	he	60	subj	m	subj
ic_mismatch	distressed	0	The man distressed the woman because	she	60	obj	f	subj
ic_mismatch	distressed	0	The woman distressed the man because	he	60	obj	m	subj
ic_mismatch	distressed	0	The woman distressed the man because	she	60	subj	f	subj
ic_mismatch	distrusted	0	The man distrusted the woman because	he	-75	subj	m	obj
ic_mismatch	distrusted	0	The man distrusted the woman because	she	-75	obj	f	obj
ic_mismatch	distrusted	0	The woman distrusted the man because	he	-75	obj	m	obj
ic_mismatch	distrusted	0	The woman distrusted the man because	she	-75	subj	f	obj
ic_mismatch	divorced	0	The man divorced the woman because	he	-21	subj	m	obj
ic_mismatch	divorced	0	The man divorced the woman because	she	-21	obj	f	obj
ic_mismatch	divorced	0	The woman divorced the man because	he	-21	obj	m	obj
ic_mismatch	divorced	0	The woman divorced the man because	she	-21	subj	f	obj
ic_mismatch	dominated	0	The man dominated the woman because	he	3	subj	m	subj
ic_mismatch	dominated	0	The man dominated the woman because	she	3	obj	f	subj
ic_mismatch	dominated	0	The woman dominated the man because	he	3	obj	m	subj
ic_mismatch	dominated	0	The woman dominated the man because	she	3	subj	f	subj
ic_mismatch	dreaded	0	The man dreaded the woman because	he	-73	subj	m	obj
ic_mismatch	dreaded	0	The man dreaded the woman because	she	-73	obj	f	obj
