item	infinitive	tense	sing	plur	inVocabs
47	acordar	Fut	acordará	acordarán	0
48	llamar	Past	llamó	llamaron	0
48	llamar	Imperfect	llamaba	llamaban	1
48	llamar	Pres	llama	llaman	1
48	llamar	Fut	llamará	llamarán	0
49	tardar	Past	tardó	tardaron	0
49	tardar	Imperfect	tardaba	tardaban	0
49	tardar	Pres	tarda	tardan	0
49	tardar	Fut	tardará	tardarán	0
50	enterar	Past	enteró	enteraron	0
50	enterar	Imperfect	enteraba	enteraban	0
50	enterar	Pres	entera	enteran	0
50	enterar	Fut	enterará	enterarán	0
51	lograr	Past	logró	lograron	0
51	lograr	Imperfect	lograba	lograban	0
51	lograr	Pres	logra	logran	1
51	lograr	Fut	logrará	lograrán	0
52	escuchar	Past	escuchó	escucharon	0
52	escuchar	Imperfect	escuchaba	escuchaban	0
52	escuchar	Pres	escucha	escuchan	1
52	escuchar	Fut	escuchará	escucharán	0
53	hablar	Past	habló	hablaron	0
53	hablar	Imperfect	hablaba	hablaban	1
53	hablar	Pres	habla	hablan	1
53	hablar	Fut	hablará	hablarán	0
54	ingresar	Past	ingresó	ingresaron	0
54	ingresar	Imperfect	ingresaba	ingresaban	0
54	ingresar	Pres	ingresa	ingresan	0
54	ingresar	Fut	ingresará	ingresarán	0
55	creer	Past	creyó	creyeron	0
55	creer	Imperfect	creía	creían	0
55	creer	Pres	cree	creen	1
55	creer	Fut	creerá	creerán	0
56	recibir	Past	recibió	recibieron	0
56	recibir	Imperfect	recibía	recibían	0
56	recibir	Pres	recibe	reciben	1
56	recibir	Fut	recibirá	recibirán	0
57	acomodar	Past	acomodó	acomodaron	0
57	acomodar	Imperfect	acomodaba	acomodaban	0
57	acomodar	Pres	acomoda	acomodan	0
57	acomodar	Fut	acomodará	acomodarán	0
58	proporcionar	Past	proporcionó	proporcionaron	0
58	proporcionar	Imperfect	proporcionaba	proporcionaban	0
58	proporcionar	Pres	proporciona	proporcionan	1
58	proporcionar	Fut	proporcionará	proporcionarán	0
59	arrimar	Past	arrimó	arrimaron	0
59	arrimar	Imperfect	arrimaba	arrimaban	0
59	arrimar	Pres	arrima	arriman	0
59	arrimar	Fut	arrimará	arrimarán	0
60	despreciar	Past	despreció	despreciaron	0
60	despreciar	Imperfect	despreciaba	despreciaban	0
60	despreciar	Pres	desprecia	desprecian	0
60	despreciar	Fut	despreciará	despreciarán	0
61	encontrar	Past	encontró	encontraron	0
61	encontrar	Imperfect	encontraba	encontraban	1
61	encontrar	Pres	encuentra	encuentran	1
61	encontrar	Fut	encontrará	encontrarán	0
62	llevar	Past	llevó	llevaron	0
62	llevar	Imperfect	llevaba	llevaban	1
62	llevar	Pres	lleva	llevan	1
62	llevar	Fut	llevará	llevarán	0
63	vivir	Past	vivió	vivieron	0
63	vivir	Imperfect	vivía	vivían	0
63	vivir	Pres	vive	viven	1
63	vivir	Fut	vivirá	vivirán	0
64	comer	Past	comió	comieron	0
64	comer	Imperfect	comía	comían	0
64	comer	Pres	come	comen	1
64	comer	Fut	comerá	comerán	0
65	comprar	Past	compró	compraron	0
65	comprar	Imperfect	compraba	compraban	0
65	comprar	Pres	compra	compran	0
65	comprar	Fut	comprará	comprarán	0
66	decir	Past	dijo	dijeron	1
66	decir	Imperfect	decía	decían	0
66	decir	Pres	dice	dicen	1
66	decir	Fut	dirá	dirán	0
67	aceptar	Past	aceptó	aceptaron	0
67	aceptar	Imperfect	aceptaba	aceptaban	0
67	aceptar	Pres	acepta	aceptan	1
67	aceptar	Fut	aceptará	aceptarán	0
68	venir	Past	vino	vinieron	1
68	venir	Imperfect	venía	venían	0
68	venir	Pres	viene	vienen	1
68	venir	Fut	vendrá	vendrán	0
69	parecer	Past	pareció	parecieron	0
69	parecer	Imperfect	parecía	parecían	0
69	parecer	Pres	parece	parecen	1
69	parecer	Fut	parecerá	parecerán	0
70	reforzar	Past	reforzó	reforzaron	0
70	reforzar	Imperfect	reforzaba	reforzaban	0
70	reforzar	Pres	refuerza	refuerzan	0
70	reforzar	Fut	reforzará	reforzarán	0
71	encajar	Past	encajó	encajaron	0
71	encajar	Imperfect	encajaba	encajaban	0
71	encajar	Pres	encaja	encajan	0
71	encajar	Fut	encajará	encajarán	0
72	mostrar	Past	mostró	mostraron	0
72	mostrar	Imperfect	mostraba	mostraban	0
72	mostrar	Pres	muestra	muestran	1
72	mostrar	Fut	mostrará	mostrarán	0
73	desenvolver	Past	desenvolvió	desenvolvieron	0
73	desenvolver	Imperfect	desenvolvía	desenvolvían	0
73	desenvolver	Pres	desenvuelve	desenvuelven	0
73	desenvolver	Fut	desenvolverá	desenvolverán	0
74	golpear	Past	golpeó	golpearon	0
74	golpear	Imperfect	golpeaba	golpeaban	0
74	golpear	Pres	golpea	golpean	0
74	golpear	Fut	golpeará	golpearán	0
75	moderar	Past	moderó	moderaron	0
75	moderar	Imperfect	moderaba	moderaban	0
75	moderar	Pres	modera	moderan	0
75	moderar	Fut	moderará	moderarán	0
76	atacar	Past	atacó	atacaron	0
76	atacar	Imperfect	atacaba	atacaban	0
76	atacar	Pres	ataca	atacan	1
76	atacar	Fut	atacará	atacarán	0
77	estar	Past	estuvo	estuvieron	1
77	estar	Imperfect	estaba	estaban	1
77	estar	Pres	está	están	0
77	estar	Fut	estará	estarán	0
78	cerner	Past	cernió	cernieron	0
78	cerner	Imperfect	cernía	cernían	0
78	cerner	Pres	cierne	ciernen	0
78	cerner	Fut	cernerá	cernerán	0
79	convertir	Past	convirtió	convirtieron	0
79	convertir	Imperfect	convertía	convertían	0
79	convertir	Pres	convierte	convierten	1
79	convertir	Fut	convertirá	convertirán	0
80	preocupar	Past	preocupó	preocuparon	0
80	preocupar	Imperfect	preocupaba	preocupaban	0
80	preocupar	Pres	preocupa	preocupan	0
80	preocupar	Fut	preocupará	preocuparán	0
81	saber	Past	supo	supieron	0
81	saber	Imperfect	sabía	sabían	0
81	saber	Pres	sabe	saben	1
81	saber	Fut	sabrá	sabrán	0
82	acudir	Past	acudió	acudieron	0
82	acudir	Imperfect	acudía	acudían	0
82	acudir	Pres	acude	acuden	0
82	acudir	Fut	acudirá	acudirán	0
83	disputar	Past	disputó	disputaron	0
83	disputar	Imperfect	disputaba	disputaban	0
83	disputar	Pres	disputa	disputan	0
83	disputar	Fut	disputará	disputarán	0
84	pensar	Past	pensó	pensaron	0
84	pensar	Imperfect	pensaba	pensaban	1
84	pensar	Pres	piensa	piensan	1
84	pensar	Fut	pensará	pensarán	0
85	necesitar	Past	necesitó	necesitaron	0
85	necesitar	Imperfect	necesitaba	necesitaban	1
85	necesitar	Pres	necesita	necesitan	1
85	necesitar	Fut	necesitará	necesitarán	0
86	correr	Past	corrió	corrieron	0
86	correr	Imperfect	corría	corrían	0
86	correr	Pres	corre	corren	1
86	correr	Fut	correrá	correrán	0
87	llegar	Past	llegó	llegaron	0
87	llegar	Imperfect	llegaba	llegaban	1
87	llegar	Pres	llega	llegan	1
87	llegar	Fut	llegará	llegarán	0
88	pedir	Past	pidió	pidieron	0
88	pedir	Imperfect	pedía	pedían	0
88	pedir	Pres	pide	piden	1
88	pedir	Fut	pedirá	pedirán	0
89	caer	Past	cayó	cayeron	0
89	caer	Imperfect	caía	caían	0
89	caer	Pres	cae	caen	1
89	caer	Fut	caerá	caerán	0
90	lucir	Past	lució	lucieron	0
90	lucir	Imperfect	lucía	lucían	0
90	lucir	Pres	luce	lucen	0
90	lucir	Fut	lucirá	lucirán	0
91	jugar	Past	jugó	jugaron	0
91	jugar	Imperfect	jugaba	jugaban	0
91	jugar	Pres	juega	juegan	1
91	jugar	Fut	jugará	jugarán	0
92	traer	Past	trajo	trajeron	1
92	traer	Imperfect	traía	traían	0
92	traer	Pres	trae	traen	1
92	traer	Fut	traerá	traerán	0
93	aprovechar	Past	aprovechó	aprovecharon	0
93	aprovechar	Imperfect	aprovechaba	aprovechaban	0
93	aprovechar	Pres	aprovecha	aprovechan	0
93	aprovechar	Fut	aprovechará	aprovecharán	0
94	desmontar	Past	desmontó	desmontaron	0
94	desmontar	Imperfect	desmontaba	desmontaban	0
94	desmontar	Pres	desmonta	desmontan	0
94	desmontar	Fut	desmontará	desmontarán	0
95	topar	Past	topó	toparon	0
95	topar	Imperfect	topaba	topaban	0
95	topar	Pres	topa	topan	0
95	topar	Fut	topará	toparán	0
96	esconder	Past	escondió	escondieron	0
96	esconder	Imperfect	escondía	escondían	0
96	esconder	Pres	esconde	esconden	0
96	esconder	Fut	esconderá	esconderán	0
97	apresurar	Past	apresuró	apresuraron	0
97	apresurar	Imperfect	apresuraba	apresuraban	0
97	apresurar	Pres	apresura	apresuran	0
97	apresurar	Fut	apresurará	apresurarán	0
98	abroncar	Past	abroncó	abroncaron	0
98	abroncar	Imperfect	abroncaba	abroncaban	0
98	abroncar	Pres	abronca	abroncan	0
98	abroncar	Fut	abroncará	abroncarán	0
99	redimir	Past	redimió	redimieron	0
99	redimir	Imperfect	redimía	redimían	0
99	redimir	Pres	redime	redimen	0
99	redimir	Fut	redimirá	redimirán	0
100	conocer	Past	conoció	conocieron	0
100	conocer	Imperfect	conocía	conocían	0
100	conocer	Pres	conoce	conocen	1
100	conocer	Fut	conocerá	conocerán	0
101	granjear	Past	granjeó	granjearon	0
101	granjear	Imperfect	granjeaba	granjeaban	0
101	granjear	Pres	granjea	granjean	0
101	granjear	Fut	granjeará	granjearán	0
102	revelar	Past	reveló	revelaron	0
102	revelar	Imperfect	revelaba	revelaban	0
102	revelar	Pres	revela	revelan	1
102	revelar	Fut	revelará	revelarán	0
103	descollar	Past	descolló	descollaron	0
103	descollar	Imperfect	descollaba	descollaban	0
103	descollar	Pres	descuella	descuellan	0
103	descollar	Fut	descollará	descollarán	0
104	acercar	Past	acercó	acercaron	0
104	acercar	Imperfect	acercaba	acercaban	0
104	acercar	Pres	acerca	acercan	1
104	acercar	Fut	acercará	acercarán	0
105	precisar	Past	precisó	precisaron	0
105	precisar	Imperfect	precisaba	precisaban	0
105	precisar	Pres	precisa	precisan	0
105	precisar	Fut	precisará	precisarán	0
106	exigir	Past	exigió	exigieron	0
106	exigir	Imperfect	exigía	exigían	0
106	exigir	Pres	exige	exigen	1
106	exigir	Fut	exigirá	exigirán	0
107	adoptar	Past	adoptó	adoptaron	0
107	adoptar	Imperfect	adoptaba	adoptaban	0
107	adoptar	Pres	adopta	adoptan	0
107	adoptar	Fut	adoptará	adoptarán	0
108	perseguir	Past	persiguió	persiguieron	0
108	perseguir	Imperfect	perseguía	perseguían	0
108	perseguir	Pres	persigue	persiguen	1
108	perseguir	Fut	perseguirá	perseguirán	0
109	dirigir	Past	dirigió	dirigieron	0
109	dirigir	Imperfect	dirigía	dirigían	0
109	dirigir	Pres	dirige	dirigen	1
109	dirigir	Fut	dirigirá	dirigirán	0
110	alzar	Past	alzó	alzaron	0
110	alzar	Imperfect	alzaba	alzaban	0
110	alzar	Pres	alza	alzan	0
110	alzar	Fut	alzará	alzarán	0
111	invertir	Past	invirtió	invirtieron	0
111	invertir	Imperfect	invertía	invertían	0
111	invertir	Pres	invierte	invierten	0
111	invertir	Fut	invertirá	invertirán	0
112	afrontar	Past	afrontó	afrontaron	0
112	afrontar	Imperfect	afrontaba	afrontaban	0
112	afrontar	Pres	afronta	afrontan	0
112	afrontar	Fut	afrontará	afrontarán	0
113	aprender	Past	aprendió	aprendieron	0
113	aprender	Imperfect	aprendía	aprendían	0
113	aprender	Pres	aprende	aprenden	1
113	aprender	Fut	aprenderá	aprenderán	0
114	servir	Past	sirvió	sirvieron	0
114	servir	Imperfect	servía	servían	0
114	servir	Pres	sirve	sirven	1
114	servir	Fut	servirá	servirán	0
115	dar	Past	dio	dieron	1
115	dar	Imperfect	daba	daban	1
115	dar	Pres	da	dan	1
115	dar	Fut	dará	darán	0
116	enfrentar	Past	enfrentó	enfrentaron	0
116	enfrentar	Imperfect	enfrentaba	enfrentaban	0
116	enfrentar	Pres	enfrenta	enfrentan	1
116	enfrentar	Fut	enfrentará	enfrentarán	0
117	existir	Past	existió	existieron	0
117	existir	Imperfect	existía	existían	0
117	existir	Pres	existe	existen	1
117	existir	Fut	existirá	existirán	0
118	seguir	Past	siguió	siguieron	0
118	seguir	Imperfect	seguía	seguían	0
118	seguir	Pres	sigue	siguen	1
118	seguir	Fut	seguirá	seguirán	0
119	transformar	Past	transformó	transformaron	0
119	transformar	Imperfect	transformaba	transformaban	0
119	transformar	Pres	transforma	transforman	0
119	transformar	Fut	transformará	transformarán	0
120	presentar	Past	presentó	presentaron	0
120	presentar	Imperfect	presentaba	presentaban	1
120	presentar	Pres	presenta	presentan	1
120	presentar	Fut	presentará	presentarán	0
121	asegurar	Past	aseguró	aseguraron	0
121	asegurar	Imperfect	aseguraba	aseguraban	0
121	asegurar	Pres	asegura	aseguran	1
121	asegurar	Fut	asegurará	asegurarán	0
122	suscitar	Past	suscitó	suscitaron	0
122	suscitar	Imperfect	suscitaba	suscitaban	0
122	suscitar	Pres	suscita	suscitan	0
122	suscitar	Fut	suscitará	suscitarán	0
123	equivocar	Past	equivocó	equivocaron	0
123	equivocar	Imperfect	equivocaba	equivocaban	0
123	equivocar	Pres	equivoca	equivocan	0
123	equivocar	Fut	equivocará	equivocarán	0
124	invitar	Past	invitó	invitaron	0
124	invitar	Imperfect	invitaba	invitaban	0
124	invitar	Pres	invita	invitan	0
124	invitar	Fut	invitará	invitarán	0
125	observar	Past	observó	observaron	0
125	observar	Imperfect	observaba	observaban	0
125	observar	Pres	observa	observan	1
125	observar	Fut	observará	observarán	0
126	concluir	Past	concluyó	concluyeron	0
126	concluir	Imperfect	concluía	concluían	0
126	concluir	Pres	concluye	concluyen	0
126	concluir	Fut	concluirá	concluirán	0
127	comparar	Past	comparó	compararon	0
127	comparar	Imperfect	comparaba	comparaban	0
127	comparar	Pres	compara	comparan	0
127	comparar	Fut	comparará	compararán	0
128	prestar	Past	prestó	prestaron	0
128	prestar	Imperfect	prestaba	prestaban	0
128	prestar	Pres	presta	prestan	1
128	prestar	Fut	prestará	prestarán	0
129	padecer	Past	padeció	padecieron	0
129	padecer	Imperfect	padecía	padecían	0
129	padecer	Pres	padece	padecen	0
129	padecer	Fut	padecerá	padecerán	0
130	erradicar	Past	erradicó	erradicaron	0
130	erradicar	Imperfect	erradicaba	erradicaban	0
130	erradicar	Pres	erradica	erradican	0
130	erradicar	Fut	erradicará	erradicarán	0
131	caber	Past	cupo	cupieron	0
131	caber	Imperfect	cabía	cabían	0
131	caber	Pres	cabe	caben	0
131	caber	Fut	cabrá	cabrán	0
132	evitar	Past	evitó	evitaron	0
132	evitar	Imperfect	evitaba	evitaban	0
132	evitar	Pres	evita	evitan	0
132	evitar	Fut	evitará	evitarán	0
133	combatir	Past	combatió	combatieron	0
133	combatir	Imperfect	combatía	combatían	0
133	combatir	Pres	combate	combaten	0
133	combatir	Fut	combatirá	combatirán	0
134	matar	Past	mató	mataron	0
134	matar	Imperfect	mataba	mataban	0
134	matar	Pres	mata	matan	1
134	matar	Fut	matará	matarán	0
135	temblar	Past	tembló	temblaron	0
135	temblar	Imperfect	temblaba	temblaban	0
135	temblar	Pres	tiembla	tiemblan	0
135	temblar	Fut	temblará	temblarán	0
136	construir	Past	construyó	construyeron	0
136	construir	Imperfect	construía	construían	0
136	construir	Pres	construye	construyen	1
136	construir	Fut	construirá	construirán	0
137	actuar	Past	actuó	actuaron	0
137	actuar	Imperfect	actuaba	actuaban	0
137	actuar	Pres	actúa	actúan	0
137	actuar	Fut	actuará	actuarán	0
138	aparecer	Past	apareció	aparecieron	0
138	aparecer	Imperfect	aparecía	aparecían	0
138	aparecer	Pres	aparece	aparecen	1
138	aparecer	Fut	aparecerá	aparecerán	0
139	manifestar	Past	manifestó	manifestaron	0
139	manifestar	Imperfect	manifestaba	manifestaban	0
139	manifestar	Pres	manifiesta	manifiestan	1
139	manifestar	Fut	manifestará	manifestarán	0
140	identificar	Past	identificó	identificaron	0
140	identificar	Imperfect	identificaba	identificaban	0
140	identificar	Pres	identifica	identifican	1
140	identificar	Fut	identificará	identificarán	0
141	sobrevivir	Past	sobrevivió	sobrevivieron	0
141	sobrevivir	Imperfect	sobrevivía	sobrevivían	0
141	sobrevivir	Pres	sobrevive	sobreviven	0
141	sobrevivir	Fut	sobrevivirá	sobrevivirán	0
142	leer	Past	leyó	leyeron	0
142	leer	Imperfect	leía	leían	0
142	leer	Pres	lee	leen	0
142	leer	Fut	leerá	leerán	0
143	proponer	Past	propuso	propusieron	1
143	proponer	Imperfect	proponía	proponían	0
143	proponer	Pres	propone	proponen	1
143	proponer	Fut	propondrá	propondrán	0
144	mejorar	Past	mejoró	mejoraron	0
144	mejorar	Imperfect	mejoraba	mejoraban	0
144	mejorar	Pres	mejora	mejoran	0
144	mejorar	Fut	mejorará	mejorarán	0
145	registrar	Past	registró	registraron	0
145	registrar	Imperfect	registraba	registraban	0
145	registrar	Pres	registra	registran	1
145	registrar	Fut	registrará	registrarán	0
146	obtener	Past	obtuvo	obtuvieron	1
146	obtener	Imperfect	obtenía	obtenían	0
146	obtener	Pres	obtiene	obtienen	1
146	obtener	Fut	obtendrá	obtendrán	0
147	vender	Past	vendió	vendieron	0
147	vender	Imperfect	vendía	vendían	0
147	vender	Pres	vende	venden	1
147	vender	Fut	venderá	venderán	0
148	participar	Past	participó	participaron	0
148	participar	Imperfect	participaba	participaban	0
148	participar	Pres	participa	participan	1
148	participar	Fut	participará	participarán	0
149	desarrollar	Past	desarrolló	desarrollaron	0
149	desarrollar	Imperfect	desarrollaba	desarrollaban	0
149	desarrollar	Pres	desarrolla	desarrollan	1
149	desarrollar	Fut	desarrollará	desarrollarán	0
150	deber	Past	debió	debieron	0
150	deber	Imperfect	debía	debían	0
150	deber	Pres	debe	deben	1
150	deber	Fut	deberá	deberán	0
151	circular	Past	circuló	circularon	0
151	circular	Imperfect	circulaba	circulaban	0
151	circular	Pres	circula	circulan	0
151	circular	Fut	circulará	circularán	0
152	concebir	Past	concibió	concibieron	0
152	concebir	Imperfect	concebía	concebían	0
152	concebir	Pres	concibe	conciben	0
152	concebir	Fut	concebirá	concebirán	0
153	faltar	Past	faltó	faltaron	0
153	faltar	Imperfect	faltaba	faltaban	0
153	faltar	Pres	falta	faltan	1
153	faltar	Fut	faltará	faltarán	0
154	resolver	Past	resolvió	resolvieron	0
154	resolver	Imperfect	resolvía	resolvían	0
154	resolver	Pres	resuelve	resuelven	0
154	resolver	Fut	resolverá	resolverán	0
155	extender	Past	extendió	extendieron	0
155	extender	Imperfect	extendía	extendían	0
155	extender	Pres	extiende	extienden	1
155	extender	Fut	extenderá	extenderán	0
156	celebrar	Past	celebró	celebraron	0
156	celebrar	Imperfect	celebraba	celebraban	0
156	celebrar	Pres	celebra	celebran	1
156	celebrar	Fut	celebrará	celebrarán	0
157	triunfar	Past	triunfó	triunfaron	0
157	triunfar	Imperfect	triunfaba	triunfaban	0
157	triunfar	Pres	triunfa	triunfan	0
157	triunfar	Fut	triunfará	triunfarán	0
158	crear	Past	creó	crearon	0
158	crear	Imperfect	creaba	creaban	0
158	crear	Pres	crea	crean	1
158	crear	Fut	creará	crearán	0
159	reunir	Past	reunió	reunieron	0
159	reunir	Imperfect	reunía	reunían	0
159	reunir	Pres	reúne	reúnen	0
159	reunir	Fut	reunirá	reunirán	0
160	morir	Past	murió	murieron	0
160	morir	Imperfect	moría	morían	0
